id,symbol,name,asset_class,currency,isin,metadata
1,INST001,Instrument 1,DERIVATIVE,CAD,US8771751063,{}
2,INST002,Instrument 2,FX,GBP,US7761065687,{}
3,INST003,Instrument 3,DERIVATIVE,EUR,US5242626058,{}
4,INST004,Instrument 4,FIXED_INCOME,CAD,US5659625891,"{""coupon_rate"": 4.41, ""maturity_date"": ""2030-07-26""}"
5,INST005,Instrument 5,FX,JPY,US9669348418,{}
6,INST006,Instrument 6,FIXED_INCOME,JPY,US5446074414,"{""coupon_rate"": 1.65, ""maturity_date"": ""2030-02-17""}"
7,INST007,Instrument 7,DERIVATIVE,CAD,US2939759284,{}
8,INST008,Instrument 8,FX,JPY,US5069262305,{}
9,INST009,Instrument 9,FIXED_INCOME,USD,US4233537851,"{""coupon_rate"": 2.82, ""maturity_date"": ""2030-07-16""}"
10,INST010,Instrument 10,EQUITY,CAD,US5419887978,"{""sector"": ""Energy"", ""dividend_yield"": 2.69}"
11,INST011,Instrument 11,FIXED_INCOME,JPY,US3614014223,"{""coupon_rate"": 5.3, ""maturity_date"": ""2031-05-23""}"
12,INST012,Instrument 12,COMMODITY,EUR,US4234413918,{}
13,INST013,Instrument 13,COMMODITY,EUR,US9460231761,{}
14,INST014,Instrument 14,DERIVATIVE,USD,US9632692063,{}
15,INST015,Instrument 15,FIXED_INCOME,EUR,US3057969607,"{""coupon_rate"": 1.75, ""maturity_date"": ""2029-11-30""}"
16,INST016,Instrument 16,FIXED_INCOME,JPY,US1341655396,"{""coupon_rate"": 6.01, ""maturity_date"": ""2035-05-02""}"
17,INST017,Instrument 17,FIXED_INCOME,GBP,US6221993184,"{""coupon_rate"": 4.75, ""maturity_date"": ""2031-04-24""}"
18,INST018,Instrument 18,FIXED_INCOME,CAD,US5233232720,"{""coupon_rate"": 6.58, ""maturity_date"": ""2035-07-08""}"
19,INST019,Instrument 19,COMMODITY,GBP,US2475330971,{}
20,INST020,Instrument 20,COMMODITY,EUR,US9245018012,{}
21,INST021,Instrument 21,FX,CAD,US2276790675,{}
22,INST022,Instrument 22,DERIVATIVE,CAD,US6390798411,{}
23,INST023,Instrument 23,COMMODITY,USD,US1687553064,{}
24,INST024,Instrument 24,EQUITY,EUR,US1739255482,"{""sector"": ""Banking"", ""dividend_yield"": 2.36}"
25,INST025,Instrument 25,COMMODITY,GBP,US6883820940,{}
26,INST026,Instrument 26,DERIVATIVE,JPY,US2543352310,{}
27,INST027,Instrument 27,FIXED_INCOME,CAD,US8683691333,"{""coupon_rate"": 3.24, ""maturity_date"": ""2032-08-06""}"
28,INST028,Instrument 28,FIXED_INCOME,CAD,US2453157008,"{""coupon_rate"": 1.43, ""maturity_date"": ""2034-03-30""}"
29,INST029,Instrument 29,FIXED_INCOME,JPY,US2192744502,"{""coupon_rate"": 5.82, ""maturity_date"": ""2032-05-26""}"
30,INST030,Instrument 30,FIXED_INCOME,JPY,US2017967656,"{""coupon_rate"": 1.74, ""maturity_date"": ""2035-01-12""}"
31,INST031,Instrument 31,EQUITY,GBP,US1873390385,"{""sector"": ""Energy"", ""dividend_yield"": 0.81}"
32,INST032,Instrument 32,COMMODITY,JPY,US5866995568,{}
33,INST033,Instrument 33,DERIVATIVE,CAD,US6872823560,{}
34,INST034,Instrument 34,COMMODITY,GBP,US7591141937,{}
35,INST035,Instrument 35,EQUITY,CAD,US9064841605,"{""sector"": ""Healthcare"", ""dividend_yield"": 3.41}"
36,INST036,Instrument 36,FIXED_INCOME,EUR,US2337105365,"{""coupon_rate"": 6.79, ""maturity_date"": ""2029-12-08""}"
37,INST037,Instrument 37,DERIVATIVE,USD,US7217591447,{}
38,INST038,Instrument 38,DERIVATIVE,CAD,US7594750751,{}
39,INST039,Instrument 39,DERIVATIVE,CAD,US5282615284,{}
40,INST040,Instrument 40,COMMODITY,EUR,US6774245191,{}
41,INST041,Instrument 41,COMMODITY,USD,US7677949808,{}
42,INST042,Instrument 42,EQUITY,JPY,US2289162124,"{""sector"": ""Healthcare"", ""dividend_yield"": 3.96}"
43,INST043,Instrument 43,DERIVATIVE,USD,US5327533797,{}
44,INST044,Instrument 44,COMMODITY,CAD,US5641551375,{}
45,INST045,Instrument 45,DERIVATIVE,CAD,US4708297913,{}
46,INST046,Instrument 46,FIXED_INCOME,EUR,US7924545944,"{""coupon_rate"": 2.74, ""maturity_date"": ""2031-05-08""}"
47,INST047,Instrument 47,COMMODITY,JPY,US1882418477,{}
48,INST048,Instrument 48,COMMODITY,JPY,US9068876645,{}
49,INST049,Instrument 49,DERIVATIVE,USD,US7657253697,{}
50,INST050,Instrument 50,FIXED_INCOME,JPY,US9261834274,"{""coupon_rate"": 6.26, ""maturity_date"": ""2034-12-07""}"
