id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
1,TRD-145587-1,1,4,DERIVATIVE,SELL,429.7422,463.2881,2026-07-13,UNMATCHED
2,TRD-667692-2,36,3,EQUITY,SELL,361.754,431.0804,2026-05-16,DISPUTED
3,TRD-589506-3,36,1,FX,BUY,337.7026,232.1245,2026-04-09,MATCHED
4,TRD-840632-4,28,7,EQUITY,BUY,637.4219,271.3861,2026-06-09,MATCHED
5,TRD-283911-5,28,3,FIXED_INCOME,SELL,376.7598,66.6972,2026-07-18,PENDING
6,TRD-498270-6,36,4,EQUITY,SELL,831.7381,110.2886,2026-06-10,PENDING
7,TRD-124023-7,18,7,FX,SELL,51.3678,359.3633,2026-07-29,UNMATCHED
8,TRD-631745-8,20,10,FX,SELL,568.0303,202.0406,2026-07-03,UNMATCHED
9,TRD-932336-9,30,2,DERIVATIVE,SELL,177.3053,425.4647,2026-04-17,PENDING
10,TRD-702485-10,47,1,DERIVATIVE,BUY,428.7532,385.7268,2026-04-05,PENDING
11,TRD-293694-11,46,4,DERIVATIVE,SELL,948.7431,63.0133,2026-05-08,UNMATCHED
12,TRD-282724-12,38,3,DERIVATIVE,SELL,374.3568,378.1333,2026-04-23,PENDING
13,TRD-616748-13,48,2,DERIVATIVE,SELL,288.9065,477.8414,2026-05-15,MATCHED
14,TRD-608254-14,31,4,COMMODITY,SELL,659.3646,240.1365,2026-06-22,DISPUTED
15,TRD-880476-15,33,5,EQUITY,SELL,317.1539,355.076,2026-07-28,DISPUTED
16,TRD-102717-16,6,3,FIXED_INCOME,SELL,829.4545,431.3386,2026-05-06,UNMATCHED
17,TRD-232726-17,36,3,FIXED_INCOME,SELL,887.0504,474.7178,2026-05-21,DISPUTED
18,TRD-703871-18,23,10,FX,SELL,808.5893,327.3388,2026-07-27,PENDING
19,TRD-988754-19,48,10,EQUITY,BUY,717.4653,61.1382,2026-07-05,DISPUTED
20,TRD-869455-20,3,10,FIXED_INCOME,BUY,30.0686,306.8291,2026-06-05,PENDING
21,TRD-180378-21,10,3,FX,BUY,497.4521,61.5234,2026-06-19,PENDING
22,TRD-541863-22,43,10,COMMODITY,SELL,661.4561,155.0821,2026-06-25,MATCHED
23,TRD-379894-23,10,2,EQUITY,BUY,206.4916,239.407,2026-04-06,DISPUTED
24,TRD-287879-24,28,10,DERIVATIVE,BUY,255.1482,159.6894,2026-04-20,DISPUTED
25,TRD-395937-25,4,4,FX,SELL,432.8733,491.3186,2026-05-26,MATCHED
26,TRD-514430-26,8,5,EQUITY,BUY,736.623,189.6604,2026-05-15,MATCHED
27,TRD-375450-27,37,5,DERIVATIVE,SELL,988.1895,312.3396,2026-04-24,PENDING
28,TRD-270548-28,38,10,FX,BUY,537.7369,420.8538,2026-06-12,PENDING
29,TRD-945701-29,42,10,EQUITY,BUY,728.4893,475.736,2026-05-04,DISPUTED
30,TRD-103743-30,45,9,EQUITY,SELL,30.7437,425.7151,2026-07-17,PENDING
31,TRD-658468-31,22,2,COMMODITY,SELL,656.6666,117.3757,2026-04-13,UNMATCHED
32,TRD-591170-32,50,4,COMMODITY,BUY,508.3418,468.6258,2026-06-30,UNMATCHED
33,TRD-710407-33,14,9,FX,BUY,387.8884,62.915,2026-04-03,DISPUTED
34,TRD-655529-34,18,1,DERIVATIVE,SELL,590.7108,357.5863,2026-06-12,PENDING
35,TRD-191703-35,27,2,COMMODITY,SELL,618.5394,473.2455,2026-04-05,DISPUTED
36,TRD-703320-36,41,3,EQUITY,BUY,606.8148,320.1038,2026-04-16,DISPUTED
37,TRD-355156-37,41,8,FX,SELL,234.3944,83.1689,2026-05-09,DISPUTED
38,TRD-841734-38,19,4,EQUITY,SELL,764.505,67.8616,2026-07-08,MATCHED
39,TRD-733044-39,40,3,EQUITY,BUY,111.0075,269.4598,2026-04-26,DISPUTED
40,TRD-632363-40,3,9,EQUITY,BUY,669.959,203.213,2026-05-09,DISPUTED
41,TRD-808289-41,46,7,EQUITY,SELL,868.8257,185.7688,2026-04-09,UNMATCHED
42,TRD-814051-42,16,8,DERIVATIVE,SELL,634.671,477.6702,2026-05-16,MATCHED
43,TRD-502949-43,48,8,FX,SELL,795.3783,268.5714,2026-04-09,PENDING
44,TRD-338867-44,30,10,COMMODITY,BUY,623.2442,122.2328,2026-06-22,UNMATCHED
45,TRD-388146-45,11,1,COMMODITY,SELL,505.8654,150.3605,2026-04-04,PENDING
46,TRD-392908-46,14,10,FIXED_INCOME,BUY,896.6003,351.6386,2026-07-10,PENDING
47,TRD-788621-47,26,10,EQUITY,BUY,600.3855,444.4936,2026-05-26,UNMATCHED
48,TRD-893857-48,39,5,FIXED_INCOME,BUY,186.4757,147.7738,2026-05-24,MATCHED
49,TRD-429929-49,10,2,EQUITY,SELL,248.7778,331.4018,2026-04-08,MATCHED
50,TRD-765350-50,4,3,DERIVATIVE,BUY,773.942,438.5682,2026-06-04,PENDING
51,TRD-199712-51,43,9,COMMODITY,BUY,281.4592,157.6619,2026-07-20,MATCHED
52,TRD-601983-52,10,9,COMMODITY,SELL,962.4711,269.4499,2026-04-09,PENDING
53,TRD-417442-53,32,6,FIXED_INCOME,SELL,445.9644,423.9539,2026-06-18,DISPUTED
54,TRD-369026-54,19,5,FIXED_INCOME,SELL,967.4799,103.1327,2026-05-14,PENDING
55,TRD-312959-55,10,7,FX,BUY,505.4542,499.1838,2026-07-02,DISPUTED
56,TRD-320872-56,31,7,EQUITY,SELL,421.3666,437.2311,2026-05-18,MATCHED
57,TRD-100803-57,15,3,COMMODITY,SELL,626.265,169.5456,2026-05-17,UNMATCHED
58,TRD-739812-58,12,9,EQUITY,SELL,990.7546,446.6866,2026-07-04,DISPUTED
59,TRD-187150-59,13,6,DERIVATIVE,SELL,628.5761,88.7743,2026-05-26,UNMATCHED
60,TRD-454495-60,5,4,FX,SELL,11.3256,316.4621,2026-07-01,DISPUTED
61,TRD-122200-61,33,10,COMMODITY,SELL,581.9368,70.1899,2026-04-06,UNMATCHED
62,TRD-469186-62,46,5,COMMODITY,BUY,500.6459,208.3462,2026-05-18,DISPUTED
63,TRD-919770-63,3,1,DERIVATIVE,BUY,413.1866,124.6992,2026-04-21,PENDING
64,TRD-689155-64,42,5,DERIVATIVE,BUY,652.4645,461.2011,2026-06-13,DISPUTED
65,TRD-965708-65,16,2,DERIVATIVE,BUY,923.5028,191.8217,2026-06-19,MATCHED
66,TRD-327686-66,28,3,COMMODITY,BUY,46.0068,62.0981,2026-04-29,PENDING
67,TRD-399662-67,17,3,COMMODITY,BUY,548.612,233.602,2026-06-01,PENDING
68,TRD-258206-68,35,4,COMMODITY,SELL,61.167,174.913,2026-05-06,DISPUTED
69,TRD-459132-69,27,5,COMMODITY,SELL,989.6337,386.5358,2026-06-05,MATCHED
