GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reconx,com.dbtraining.reconx.config,JpaConfig,3,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.config,OpenApiConfig,78,0,0,0,23,0,4,0,4,0
reconx,com.dbtraining.reconx.controller,TradeController,47,0,0,0,10,0,6,0,6,0
reconx,com.dbtraining.reconx.controller,ReconController,18,0,0,0,4,0,4,0,4,0
reconx,com.dbtraining.reconx.controller,AuthController,17,0,0,0,6,0,2,0,2,0
reconx,com.dbtraining.reconx.controller,AuditController,10,0,0,0,3,0,3,0,3,0
reconx,com.dbtraining.reconx.repository,TradeSpecification,88,0,16,0,14,0,16,0,8,0
reconx,com.dbtraining.reconx.security,SecurityConfig,36,0,0,0,7,0,7,0,7,0
reconx,com.dbtraining.reconx.security,JwtTokenProvider,30,0,0,0,8,0,4,0,4,0
reconx,com.dbtraining.reconx.security,JwtAuthenticationFilter,11,0,0,0,3,0,2,0,2,0
reconx,com.dbtraining.reconx,ReconxApplication,8,0,0,0,3,0,2,0,2,0
reconx,com.dbtraining.reconx.model,TradeType,0,16,0,0,0,4,0,3,0,3
reconx,com.dbtraining.reconx.model,TradeType.AssetClass,0,27,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.model,Money,20,76,0,4,2,12,2,5,2,3
reconx,com.dbtraining.reconx.model,BondTrade.Builder,10,123,2,6,2,25,2,13,0,11
reconx,com.dbtraining.reconx.model,DerivativeTrade,41,122,4,0,9,21,11,8,9,8
reconx,com.dbtraining.reconx.model,FXTrade,38,103,4,0,8,19,10,7,8,7
reconx,com.dbtraining.reconx.model,Side,0,15,0,0,0,2,0,1,0,1
reconx,com.dbtraining.reconx.model,ReconciliationRule,8,119,1,5,3,20,3,5,2,3
reconx,com.dbtraining.reconx.model,DerivativeTrade.OptionType,0,15,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.model,Trade,30,0,0,0,8,0,4,0,4,0
reconx,com.dbtraining.reconx.model,EquityTrade,3,131,0,4,1,25,1,16,1,14
reconx,com.dbtraining.reconx.model,DerivativeTrade.Builder,10,132,2,6,2,27,2,14,0,12
reconx,com.dbtraining.reconx.model,EquityTrade.Builder,15,100,3,3,3,21,3,11,0,11
reconx,com.dbtraining.reconx.model,BondTrade,41,102,4,0,9,19,11,7,9,7
reconx,com.dbtraining.reconx.model,FXTrade.Builder,10,104,2,4,2,21,2,11,0,10
reconx,com.dbtraining.reconx.model,TradeRef,0,39,0,2,0,9,0,5,0,4
reconx,com.dbtraining.reconx.model,TradeFactory,140,88,3,1,36,20,6,6,3,6
reconx,com.dbtraining.reconx.repository.entity,Counterparty,17,13,0,0,5,4,5,4,5,4
reconx,com.dbtraining.reconx.repository.entity,AssetClass,27,0,0,0,5,0,1,0,1,0
reconx,com.dbtraining.reconx.repository.entity,AppUser,25,0,0,0,9,0,7,0,7,0
reconx,com.dbtraining.reconx.repository.entity,ReconBreak,45,0,0,0,15,0,11,0,11,0
reconx,com.dbtraining.reconx.repository.entity,TradeStatus,0,27,0,0,0,5,0,1,0,1
reconx,com.dbtraining.reconx.repository.entity,AuditLogEntry,51,0,0,0,18,0,10,0,10,0
reconx,com.dbtraining.reconx.repository.entity,Instrument,50,0,0,0,14,0,13,0,13,0
reconx,com.dbtraining.reconx.repository.entity,Trade,104,17,8,0,24,5,26,4,22,4
reconx,com.dbtraining.reconx.exception,DuplicateTradeRefException,5,6,0,0,2,2,1,1,1,1
reconx,com.dbtraining.reconx.exception,GlobalExceptionHandler,102,0,0,0,27,0,9,0,9,0
reconx,com.dbtraining.reconx.exception,TradeNotFoundException,5,6,0,0,2,2,1,1,1,1
reconx,com.dbtraining.reconx.exception,InvalidTradeException,4,5,0,0,1,1,1,1,1,1
reconx,com.dbtraining.reconx.exception,ReconException,22,5,0,0,9,2,4,1,4,1
reconx,com.dbtraining.reconx.exception,ReconciliationMismatchException,4,5,0,0,1,1,1,1,1,1
reconx,com.dbtraining.reconx.kafka,ReconciliationConsumer,12,0,0,0,3,0,3,0,3,0
reconx,com.dbtraining.reconx.kafka,KafkaErrorHandlerConfig,3,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.kafka,AlertConsumer,12,0,0,0,3,0,3,0,3,0
reconx,com.dbtraining.reconx.kafka,KafkaTopicsConfig,3,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.kafka,TradeEventProducer,15,0,0,0,5,0,3,0,3,0
reconx,com.dbtraining.reconx.kafka,AuditEventConsumer,15,0,0,0,3,0,3,0,3,0
reconx,com.dbtraining.reconx.observability,MdcFilter,44,0,6,0,11,0,6,0,3,0
reconx,com.dbtraining.reconx.observability,KafkaHealthIndicator,56,0,0,0,17,0,2,0,2,0
reconx,com.dbtraining.reconx.observability,DatabaseHealthIndicator,58,0,0,0,18,0,3,0,3,0
reconx,com.dbtraining.reconx.observability,TradeMetrics,38,0,0,0,15,0,4,0,4,0
reconx,com.dbtraining.reconx.dto,TradeEvent,24,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,PagedResponse,36,0,0,0,7,0,2,0,2,0
reconx,com.dbtraining.reconx.dto,ReconResult.Status,0,15,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.dto,LoginRequest,9,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,TradeRequest,0,21,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.dto,TradeEvent.EventType,21,0,0,0,2,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,TradeResponse,39,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,TradeMapper,7,0,2,0,1,0,2,0,1,0
reconx,com.dbtraining.reconx.dto,TradeMapperImpl,156,0,12,0,53,0,13,0,7,0
reconx,com.dbtraining.reconx.dto,ReconRunRequest,12,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,ReconResult,0,31,0,0,0,3,0,3,0,3
reconx,com.dbtraining.reconx.dto,LoginResponse,15,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.service,ReconSummaryCollector,0,79,1,3,0,17,1,10,0,9
reconx,com.dbtraining.reconx.service,TradeAnalyticsService.NotionalSummary,0,9,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.service,ReconSummary,7,12,0,0,1,1,1,1,1,1
reconx,com.dbtraining.reconx.service,TradeService,65,0,4,0,18,0,8,0,6,0
reconx,com.dbtraining.reconx.service,InstrumentService,11,0,0,0,2,0,2,0,2,0
reconx,com.dbtraining.reconx.service,ReconSummary.Builder,0,12,0,0,0,4,0,1,0,1
reconx,com.dbtraining.reconx.service,TradeAnalyticsService,34,113,8,4,5,28,5,11,0,10
reconx,com.dbtraining.reconx.service,ReconciliationEngine,70,200,11,13,8,31,9,15,1,11
reconx,com.dbtraining.reconx.service,TradeHistoryService,26,0,0,0,5,0,3,0,3,0
reconx,com.dbtraining.reconx.service,TradeLookupService,0,35,0,0,0,9,0,3,0,3
